10249,Toms Spezialitäten,52,07/05/2014,08/16/2014,07/10/2014
10250,Hanari Carnes,78,07/08/2014,08/05/2014,07/12/2014
10251,Victuailles en stock,55,07/08/2014,08/05/2014,07/15/2014
10252,Suprêmes délices,51,07/09/2014,08/06/2014,07/11/2014
10253,Hanari Carnes,78,07/10/2014,07/24/2014,07/16/2017
10254,Chop-suey Chinese,13,07/11/2014,08/08/2014,07/23/2014
10255,Richter Supermarkt,45,07/12/2014,08/09/2014,07/15/2014
10256,Wellington Importadora,86,07/15/2014,08/12/2014,07/17/2014
10257,HILARION-Abastos,87,07/16/2014,08/13/2014,07/22/2014
10258,Ernst Handel,18,07/17/2014,08/14/2014,07/23/2014
10259,Centro comercial Moctezuma,12,07/18/2014,08/15/2014,07/25/2014
10260,Ottilies Käseladen,37,07/19/2014,08/16/2014,07/29/2014
10261,Que Delícia,79,07/19/2014,08/16/2014,07/30/2014
10262,Rattlesnake Canyon Grocery,71,07/22/2014,08/19/2014,07/25/2014
10263,Ernst Handel,18,07/23/2014,08/20/2014,07/31/2014
10264,Folk och fä HB,21,07/24/2014,08/21/2014,08/23/2014
10265,Blondesddsl père et fils,7,07/25/2014,08/22/2014,08/12/2014
10266,Wartian Herkku,58,07/26/2014,09/06/2014,07/31/2014
10267,Frankenversand,22,07/29/2014,08/26/2014,08/06/2014
10268,GROSELLA-Restaurante,66,07/30/2014,08/27/2014,08/02/2014
10269,White Clover Markets,90,07/31/2014,08/14/2014,08/09/2014
10270,Wartian Herkku,58,08/01/2014,08/29/2014,08/02/2014
10271,Split Rail Beer & Ale,91,08/01/2014,08/29/2014,08/30/2014
10272,Rattlesnake Canyon Grocery,71,08/02/2014,08/30/2014,08/06/2014
10273,QUICK Stop,42,08/05/2014,09/02/2014,08/12/2014
10274,Vins et alcools Chevalier,56,08/06/2014,09/03/2014,08/16/2014
10275,Magazzini Alimentari Riuniti,32,08/07/2014,09/04/2014,08/09/2014
10276,Tortuga Restaurante,53,08/08/2014,08/22/2014,08/14/2014
10277,Morgenstern Gesundkost,34,08/09/2014,09/06/2014,08/13/2014
10278,Berglunds snabbköp,5,08/12/2014,09/09/2014,08/16/2014
10279,Lehmanns Marktstand,31,08/13/2014,09/10/2014,08/16/2014
10280,Berglunds snabbköp,5,08/14/2014,09/11/2014,09/12/2014
10281,Romero y tomillo,46,08/14/2014,08/28/2014,08/21/2014
10282,Romero y tomillo,46,08/15/2014,09/12/2014,08/21/2014
10283,LILA-Supermercado,69,08/16/2014,09/13/2014,08/23/2014
10284,Lehmanns Marktstand,31,08/19/2014,09/16/2014,08/27/2014
10285,QUICK Stop,42,08/20/2014,09/17/2014,08/26/2014
10286,QUICK Stop,42,08/21/2014,09/18/2014,08/30/2014
10287,Ricardo Adocicados,80,08/22/2014,09/19/2014,08/28/2014
10288,Reggiani Caseifici,44,08/23/2014,09/20/2014,09/03/2014
10289,B's Beverages,10,08/26/2014,09/23/2014,08/28/2014
10290,Comércio Mineiro,81,08/27/2014,09/24/2014,09/03/2014
10291,Que Delícia,79,08/27/2014,09/24/2014,09/04/2014
10292,Tradição Hipermercados,85,08/28/2014,09/25/2014,09/02/2014
10293,Tortuga Restaurante,53,08/29/2014,09/26/2014,09/11/2014
10294,Rattlesnake Canyon Grocery,71,08/30/2014,09/27/2014,09/05/2014
10295,Vins et alcools Chevalier,56,09/02/2014,09/30/2014,09/10/2014
10296,LILA-Supermercado,69,09/03/2014,10/01/2014,09/11/2014
10297,Blondesddsl père et fils,7,09/04/2014,10/16/2014,09/10/2014
10298,Hungry Owl All-Night Grocers,65,09/05/2014,10/03/2014,09/11/2014
10299,Ricardo Adocicados,80,09/06/2014,10/04/2014,09/13/2014
10300,Magazzini Alimentari Riuniti,32,09/09/2014,10/07/2014,09/18/2014
10301,Die Wandernde Kuh,57,09/09/2014,10/07/2014,09/17/2014
10302,Suprêmes délices,51,09/10/2014,10/08/2014,10/09/2014
